city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population_2019,is_last,order_for_place,place_type,state
Fartura do Piauí,2203750,3,56.52911,2020-06-26,0.0,0,5307.0,True,61,city,PI
Flores do Piauí,2203800,1,22.40645,2020-06-26,1.0,1,4463.0,True,21,city,PI
Floresta do Piauí,2203859,5,195.46521,2020-06-26,0.0,0,2558.0,True,17,city,PI
Floriano,2203909,157,261.95045,2020-06-26,0.0318,5,59935.0,True,69,city,PI
Francinópolis,2204006,22,411.36874,2020-06-26,0.0,0,5348.0,True,71,city,PI
Francisco Ayres,2204105,6,137.99448,2020-06-26,0.0,0,4348.0,True,58,city,PI
Francisco Santos,2204204,16,171.69224,2020-06-26,0.0,0,9319.0,True,55,city,PI
Fronteiras,2204303,74,636.55914,2020-06-26,0.0,0,11625.0,True,50,city,PI
Geminiano,2204352,2,36.75119,2020-06-26,0.0,0,5442.0,True,8,city,PI
Gilbués,2204402,9,84.19083,2020-06-26,0.0,0,10690.0,True,33,city,PI
Guadalupe,2204501,10,95.24717,2020-06-26,0.0,0,10499.0,True,32,city,PI
Hugo Napoleão,2204600,10,257.93139,2020-06-26,0.0,0,3877.0,True,39,city,PI
Ilha Grande,2204659,68,721.40887,2020-06-26,0.0147,1,9426.0,True,64,city,PI
Inhuma,2204709,50,326.6266,2020-06-26,0.02,1,15308.0,True,72,city,PI
Ipiranga do Piauí,2204808,17,173.2749,2020-06-26,0.0,0,9811.0,True,50,city,PI
Isaías Coelho,2204907,25,292.43186,2020-06-26,0.04,1,8549.0,True,30,city,PI
Itainópolis,2205003,5,43.36513,2020-06-26,0.0,0,11530.0,True,34,city,PI
Itaueira,2205102,2,18.15047,2020-06-26,0.5,1,11019.0,True,68,city,PI
Jaicós,2205201,2,10.46901,2020-06-26,0.0,0,19104.0,True,39,city,PI
Jatobá do Piauí,2205276,4,82.21994,2020-06-26,0.0,0,4865.0,True,20,city,PI
Jerumenha,2205300,3,67.38544,2020-06-26,0.0,0,4452.0,True,25,city,PI
Joaquim Pires,2205409,66,459.80215,2020-06-26,0.0,0,14354.0,True,38,city,PI
Joca Marques,2205458,12,220.46665,2020-06-26,0.0,0,5443.0,True,11,city,PI
José de Freitas,2205508,141,359.62049,2020-06-26,0.0284,4,39208.0,True,64,city,PI
Juazeiro do Piauí,2205516,9,164.29354,2020-06-26,0.0,0,5478.0,True,39,city,PI
Júlio Borges,2205524,6,106.62875,2020-06-26,0.3333,2,5627.0,True,56,city,PI
Lagoa Alegre,2205557,16,187.30976,2020-06-26,0.0,0,8542.0,True,10,city,PI
Lagoa de São Francisco,2205573,8,118.37822,2020-06-26,0.125,1,6758.0,True,28,city,PI
Lagoa do Barro do Piauí,2205565,81,1740.06445,2020-06-26,0.0,0,4655.0,True,69,city,PI
Lagoa do Piauí,2205581,68,1673.22835,2020-06-26,0.0147,1,4064.0,True,45,city,PI
Lagoa do Sítio,2205599,4,77.26483,2020-06-26,0.0,0,5177.0,True,42,city,PI
Lagoinha do Piauí,2205540,29,1019.33216,2020-06-26,0.0,0,2845.0,True,22,city,PI
Landri Sales,2205607,6,113.31445,2020-06-26,0.0,0,5295.0,True,43,city,PI
Luís Correia,2205706,179,590.54469,2020-06-26,0.0391,7,30311.0,True,71,city,PI
Luzilândia,2205805,347,1361.53182,2020-06-26,0.0202,7,25486.0,True,65,city,PI
Madeiro,2205854,76,914.56077,2020-06-26,0.0132,1,8310.0,True,34,city,PI
Manoel Emídio,2205904,16,299.12133,2020-06-26,0.125,2,5349.0,True,64,city,PI
Marcolândia,2205953,83,977.39049,2020-06-26,0.0241,2,8492.0,True,48,city,PI
Marcos Parente,2206001,6,131.89712,2020-06-26,0.0,0,4549.0,True,54,city,PI
Massapê do Piauí,2206050,1,15.52554,2020-06-26,0.0,0,6441.0,True,11,city,PI
Matias Olímpio,2206100,24,219.45867,2020-06-26,0.0833,2,10936.0,True,45,city,PI
Miguel Alves,2206209,188,556.87204,2020-06-26,0.0213,4,33760.0,True,68,city,PI
Miguel Leão,2206308,1,80.25682,2020-06-26,0.0,0,1246.0,True,3,city,PI
Milton Brandão,2206357,3,45.36519,2020-06-26,0.0,0,6613.0,True,32,city,PI
Monsenhor Gil,2206407,58,549.03446,2020-06-26,0.0345,2,10564.0,True,61,city,PI
Monsenhor Hipólito,2206506,33,425.8614,2020-06-26,0.0303,1,7749.0,True,56,city,PI
Monte Alegre do Piauí,2206605,10,94.22406,2020-06-26,0.0,0,10613.0,True,17,city,PI
Morro Cabeça no Tempo,2206654,11,242.71845,2020-06-26,0.0,0,4532.0,True,60,city,PI
Morro do Chapéu do Piauí,2206670,77,1133.01942,2020-06-26,0.0,0,6796.0,True,49,city,PI
Murici dos Portelas,2206696,10,109.18223,2020-06-26,0.1,1,9159.0,True,12,city,PI
Nazaré do Piauí,2206704,1,13.62583,2020-06-26,0.0,0,7339.0,True,65,city,PI
Nazária,2206720,11,128.35473,2020-06-26,0.1818,2,8570.0,True,67,city,PI
Nossa Senhora de Nazaré,2206753,11,225.87269,2020-06-26,0.0,0,4870.0,True,14,city,PI
Nossa Senhora dos Remédios,2206803,77,885.87207,2020-06-26,0.026,2,8692.0,True,39,city,PI
Nova Santa Rita,2207959,0,,2020-06-26,0.0,0,4374.0,True,40,city,PI
Novo Oriente do Piauí,2206902,11,167.55522,2020-06-26,0.0,0,6565.0,True,7,city,PI
Novo Santo Antônio,2206951,3,100.3009,2020-06-26,0.0,0,2991.0,True,35,city,PI
Oeiras,2207009,173,467.20138,2020-06-26,0.0116,2,37029.0,True,63,city,PI
Olho D'Água do Piauí,2207108,12,488.00325,2020-06-26,0.0833,1,2459.0,True,40,city,PI
Padre Marcos,2207207,7,101.92196,2020-06-26,0.1429,1,6868.0,True,38,city,PI
Paes Landim,2207306,1,24.21894,2020-06-26,0.0,0,4129.0,True,17,city,PI
Pajeú do Piauí,2207355,1,29.50723,2020-06-26,0.0,0,3389.0,True,8,city,PI
Palmeira do Piauí,2207405,3,59.4884,2020-06-26,0.0,0,5043.0,True,16,city,PI
Palmeirais,2207504,7,48.14636,2020-06-26,0.2857,2,14539.0,True,60,city,PI
Parnaguá,2207603,13,120.47076,2020-06-26,0.0,0,10791.0,True,38,city,PI
